completion	prompt
Pro: I'm drought and famine resistant.	Con: You're endangering your health.
Pro: I, uh... don't have to go to work.	Con: You're setting a bad example for the children.
Pro: Uhh... uhh... I love you?	Con: You're running the air conditioner non-stop. It's freezing in here.
Marge, this is everything I've ever dreamed of, right here.	Con: I am finding myself less attracted to you physically.
And nobody's gonna take it away from me! You never had faith in me before. But let me tell you, the slim, lazy Homer you knew is dead. Now I'm a big fat dynamo. And where's that cake?	Marge, this is everything I've ever dreamed of, right here.
"""Sound alertness horn?"" Y-E-S."	"""Vent radioactive gas?..."" Y-E-S."
"""Decalcify calcium ducts?"" Well, gimme a Y. Gimme a--"	"""Sound alertness horn?"" Y-E-S."
"Hey, all I have to type is ""Y."""	"""Decalcify calcium ducts?"" Well, gimme a Y. Gimme a--"
Hey, Miss Doesn't-Find-Me-Attractive Sexually-Anymore. I just tripled my productivity.	"Hey, all I have to type is ""Y."""
Y... Y... Y... Let's see, so many letters to choose from. I'll pick Y.	Good. Good for you.
Y, Y... What the heck are you doing over there?	Y... Y... Y... Let's see, so many letters to choose from. I'll pick Y.
There. There. You found the floor.	Y, Y... What the heck are you doing over there?
YYY... Y... Y... Y...	There. There. You found the floor.
Could you pick me up a lemonade and a beer--	I'm going out. I run errands during the day.
"Oooo! ""An Urgent Plea From Edward James Olmos!"" ""Lisa Simpson: Can you afford to miss another issue of The Utne Reader?"" Kids."	The mail! The mail is here!
Free sample of fabric softener? Woo hoo!	"Oooo! ""An Urgent Plea From Edward James Olmos!"" ""Lisa Simpson: Can you afford to miss another issue of The Utne Reader?"" Kids."
Hmmm, I can feel three kinds of softness.	Free sample of fabric softener? Woo hoo!
Washing my fat guy hat, honey.	Dad, what are you doing down there?
Hey, what are you kids looking at?	Hey, leave my dad alone. Just because he's overweight doesn't mean he's bad. He's a sweet man and he has real feelings.
Don't make me close the shade!	Hey, look. He's trying to get up to yell at us.
Nuts to that. I'm going to the movies.	Hey, Homer, you promised Mom you wouldn't wear your dress outside.
I got someone to cover for me.	Shouldn't you be working?
"One for ""Honk,"" please."	I got someone to cover for me.
What are you talking about?	I'm terribly sorry, sir. But I'm afraid our facilities are not equipped to meet your needs.
I could sit in the aisle.	Well, what I'm saying, sir, is that a man of your carriage couldn't possibly fit in our seats.
"Shame on all of you. Give me my dignity! I just came here to see ""Honk If You're Horny"" in peace."	"Hey, Fatty! I got a movie for ya -- ""A Fridge Too Far."""
Oh, that's raspberry.	Hey, my dad may have gained a little weight, but he's not some kind of food-crazed maniac.
I'll work harder than ever before, and show the world overweight people aren't undisciplined, lazy, and irresponsible! What happened to my bird?	This may surprise you, but you can't buy me off with food! I'm sick of all your stereotypes and cheap jokes! The overweight individuals in this country are just as smart and talented and hard-working as everybody else. And they're gonna make their voices heard! All they need is a leader!
Marge?... Lisa?... Flanders?...	I'll work harder than ever before, and show the world overweight people aren't undisciplined, lazy, and irresponsible! What happened to my bird?
Explosion imminent?!	Marge?... Lisa?... Flanders?...
Omigod, the plant's gonna explode!	Explosion imminent?!
"Wait, I know! ""Vent Gas."""	Who cares? It's Homer's problem.
Pressure too high?	"Wait, I know! ""Vent Gas."""
"""Tank must be shut down manually?!"" Stupid bird! I never should have put you in charge! Why you..."	Pressure too high?
Oh, who am I kidding? It's all my fault.	"""Tank must be shut down manually?!"" Stupid bird! I never should have put you in charge! Why you..."
Shut up!	Oh, who am I kidding? It's all my fault.
I gotta call the plant and warn them!	Shut up!
Get away, dammit! Run for your lives!	Ten hi-ya-ya! And nine hi-ya-ya..!
Let go! I gotta get to the tank!	What can I get for thirty cents?
Wait a minute! There's probably a --	... One hi-ya-ya!
Thank you, Mr. Burns. It was pretty scary up there. But... For a while I feared for my life.	We'll have you out of there as soon as our tech boys get you decontaminated.
Mr. Burns... Can you make me thin again?	Now Homer, if there's anything else I can do for you, please don't hesitate to ask.
Woo hoo!	Bah! I'll just pay for the blasted liposuction.
Hey everybody! Up here!	Hey, where's Homer? How'd he get out of this?
Right away, Mr. Smithers! I'll just walk across these slippery rooooock --	Simpson, stop frolicking and get to work!
Best six hundred bucks I ever spent. C'mon, boy. We've earned this Saturday, now let's make the most of it.	That dummy worked like a charm, Dad.
Sixty-one... Sixty-two... Sixty-three...	Best six hundred bucks I ever spent. C'mon, boy. We've earned this Saturday, now let's make the most of it.
That's m'name.	Homer?
Listen here. My name is Homer J. Simpson. You guys think I'm dead, but I'm not. Now I want you to straighten this out without a lot of your bureaucratic red tape and mumbo-jumbo.	Whuth va hell ith going on heah?!
I don't like your attitude, you water-cooler dictator. What do you have in that secret government file, anyway? I have a right to read it.	Okay, Mr. Simpson, I'll just make the change here ...and you're all set.
"""Wife: Marjorie. Children: Bartholomew, Lisa..."" Aha! See, this thing is all screwed up. Who the heck is ""Margaret"" Simpson?"	You sure do.
"""Youngest daughter..."" Well, how about this? This thing says my mother's still alive. She died when I was a kid."	"This is so weird. It's like something out of Dickens or ""Melrose Place."""
You see that stone angel up there? That's my mother's grave. My Dad points it out every time we drive by.	"""Youngest daughter..."" Well, how about this? This thing says my mother's still alive. She died when I was a kid."
Oh, Mom. I'm sorry I never come to see you. I'm just not a cemetery person.	Mr. Simpson, maybe you should actually go up there.
"""Here lies... Walt Whitman""?!!"	Oh, Mom. I'm sorry I never come to see you. I'm just not a cemetery person.
"Damn you, Walt Whitman! I... hate... you... Walt... freakin'... Whitman! ""Leaves of Grass"" my ass! Wait a minute. Maybe it's that other grave. The one that says ""Simpson."""	"""Here lies... Walt Whitman""?!!"
Why does my death keep comin' back to haunt me?!	"Damn you, Walt Whitman! I... hate... you... Walt... freakin'... Whitman! ""Leaves of Grass"" my ass! Wait a minute. Maybe it's that other grave. The one that says ""Simpson."""
I hate to rain on your parade, lady, but this is my grave. Hey, wait a minute... Mom?	You awful, awful man. Get out of my son's grave.
I thought you were dead.	Homer?
Some people say I look like Dan Aykroyd. I can't believe you're here. Dad always told me you died while I was at the movies.	Oh, Homer, you grew up so handsome.
Yeah. Well, where have you been all this time?	Oh, my poor baby. You must have been so upset... but I suppose Abe has his reasons.
Mom, there's something you should know about me. I almost always spoil the moment.	Oh, it's a very complicated story. Let's just enjoy this moment.
I'm sorry.	Mom, there's something you should know about me. I almost always spoil the moment.
Hey, everybody, I've got a big surprise for you! Presenting: my mother!	That's okay, darling. It wasn't your fault.
I'll Kwaanza you!	Hey, since you were a no-show at all the big moments of my life, you owe me years of back presents: Christmases, birthdays, Easters, Kwaanzas, good report cards...at seventy-five bucks a pop, plus interest and penalties... You owe me twenty-two thousand dollars.
This is my room. This is my dresser. It's where I keep my shirts when I'm not wearing them.	Homer, don't be so hard on little... What is his name?
Hey, Mom, lookit me! Look at what I can do!	Me, too!
Woo hoo! I'm so glad to have my mom back! I never realized how much I missed her.	These are the calling cards of a con artist.
But?	She's nice.
First, it wasn't 25 years. It was 27 years. And second, she had a very good reason.	I just don't think you should get too excited about the woman who abandoned you for twenty-five years. You could get hurt again.
I 'unno. I guess I was just a horrible son and no mother would want me.	Which was?
Then why did she leave me?	Oh, Homie. C'mon, you're a sweet, kind, loving man. I'm sure you were a wonderful son.
I thought I dreamed that kiss.	I'll miss you, Homer.
Wait a minute. There's one thing I don't understand. In all those years, why didn't you ever try to contact me?	Oh, I had help from my friends in the underground. Jerry Rubin gave me a job marketing his line of health shakes. I proofread Bobby Seale's cookbook. And I ran credit checks at Tom Hayden's Porsche dealership.
Oh, come on, Mom. We use that same line on the kids when they're at camp.	But I did. I sent you a care package every week.
Any undelivered mail for Homer J. Simpson?	But I did! I really did! I'll prove it to you.
Hey!	No. Oh, wait. This.
Seven!	HOW MANY ROADS MUST A MAN WALK DOWN / BEFORE YOU CAN CALL HIM A MAN?
Rhetorical, eh? Eight.	No, Dad, it's a rhetorical question.
"Do I know what ""rhetorical"" means?!"	"Dad, do you even know what ""rhetorical"" means?"
You could live with Grampa again.	Gramma, have you ever thought about moving back to Springfield?
Mom, there's nothing to be alarmed about, but could you take one last look at the family and join me in the kitchen?	You know, Lisa, it might be nice to rest for a while.
It's all thanks to our anonymous tipster. But who are you, and why did you tip us off?	We made it, Homer!
Thanks.	well, it's 'cause of your old lady that I got rid of the asthma that was keeping me out of the Academy.
Yak yak yak yak yak.	Yeah, just think of me as an anonymous friend who rose through the ranks of the Springfield Police to become Chief Clancy Wig --
At least this time I'm awake for your goodbye.	Well, there's my ride. The underground awaits.
Don't forget me.	Oh, hurry up, man. This electric van only has 20 minutes of juice left.
That Sideshow Mel thinks he's so big. Whatever happened to Sideshow Bob?	Oh, just think, Lis, that's our pickle brine burning Sideshow Mel.
Oh, yeah... But what I'll mainly remember is the laughter. I wonder what he's doing now?	And he tried to murder me.
Free Duff! Viva life!	Of course you can not.
They didn't have any aspirin, so I got you some cigarettes.	Sir! Right away, Sir!
Heh, heh. Why jerk my neck around like a goon when Tyranno-Vision decides what I should look at?	Da-ad! Why aren't you looking?
Oo, look, it's Maggie!	Heh, heh. Why jerk my neck around like a goon when Tyranno-Vision decides what I should look at?
Uh... Maggie?	Oo, look, it's Maggie!
Go back to Massachusetts, pinko!	Why, we could revive the lost arts of conversation... and scrimshaw. Thus, I submit to you: we abolish television. Permanently.
Okay, so we can't go over the fence.	Wait. If I could only stay on the air, I'd have a hundred percent of the audience. Think of the ratings.
I'm sure they're fine, honey.	I feel so helpless. What if something happens to them?
Well, I wrecked the gate but you don't hear me bragging. Now let's roll.	Mom! I found Sideshow Bob's hide-out and I got a secret message to the police and I had a blimp fall on me and I was in an atomic blast but I'm okay now!
Jump, boy! I gotcha!	Bogie's airspeed not sufficient for intercept. Suggest we get out and walk.
Now you, boy!	I'm comin'!
Well, goodnight, son.	"And what better place to premier their creation than on ""The Tracey Ullman Show"" -- the nation's showcase for psychiatrist jokes and musical comedy numbers. On April 19th, 1987, America first met... the Simpsons."
Yeah.	Um, Dad...
Relax. What is mind? No matter. What is matter? Never mind.	What is the mind? Is it just a system of impulses, or is it something tangible?
Good night, son.	Thanks, Dad.
We may be the best parents in the world.	Sweet dreams.
Goodnight.	Goodnight, dear.
There's nothing to worry about. Now everyone go to sleep. Good night.	All right, climb in.
Do I smell cookies? Where's the cookies?	Yeow!
Somebody ate those cookies.	They're all gone. The whole batch.
I think she's trying to tell us something.	Did you eat the cookies, Maggie.
Go on, Maggie. Go. Go.	Go on Maggie.
Wake up everybody! It's World War Three!	"renamed ""Homer."""
Eighteen seconds, hmph. If this were really a nuclear war, we'd all be dead meat by now. Say, you're all shivering. Are you cold or what?	Quick, down to the fallout shelter! The bombs are dropping!
Bart! Bart! Time for your Sunday night bath, boy!	Eighteen seconds, hmph. If this were really a nuclear war, we'd all be dead meat by now. Say, you're all shivering. Are you cold or what?
Bart! Where are ya, boy.	Gotta hide.
Aha!	Oops.
There you go. Now that's not so bad, is it?	Aha!
Hello. My name is Mr. Burns. I believe you have a letter for me.	"Over the six years ""The Simpsons"" has been on the air, we've received dozens of letters from fans wanting to know more about the show. Tonight we'll answer some of your questions. Professor Lawrence Pierce of the University of Chicago writes, ""I think Homer gets stupider every year."" That's not a question, Professor. But we'll let the viewers judge for themselves."
I don't know.	Okay, Mr. Burns. Uh, what's your first name?
Oooh! Look at me, I'm making people happy. I'm the Magical Man from Happyland in a gum drop house on Lollipop Lane!	Well Homer maybe you can take some consolation in the fact that something you created is making so many people happy.
Oh, by the way, I was being sarcastic.	Oooh! Look at me, I'm making people happy. I'm the Magical Man from Happyland in a gum drop house on Lollipop Lane!
Yabba dabba doo!	Well, duh.
SIMPSON, HOMER SIMPSON / HE'S THE GREATEST GUY IN HISTORY / FROM THE TOWN OF SPRINGFIELD / HE'S ABOUT TO HIT A CHESTNUT TREE	Yabba dabba doo!
Hey guys, look what I smuggled aboard.	SIMPSON, HOMER SIMPSON / HE'S THE GREATEST GUY IN HISTORY / FROM THE TOWN OF SPRINGFIELD / HE'S ABOUT TO HIT A CHESTNUT TREE
I'll take care of this.	Careful, they're ruffled!
Ants!	I'll take care of this.
Don't mind if I do.	Go crazy?
Ooh, sorry. Here's another one.	I'll take a hit, dealer. Joker? You're supposed to take those out of the deck!
But it won't make you unhappy, right? Hey! Space Food Sticks! Oh, I wish I had these on my space adventure! Did you know I was blasted into space two years ago, Mom?	The store is-a so rich, she'll-a never notice.
No, I work at the nuclear power plant.	Oh, sure. I read all about it. I mean, it was national news. Do you still work for NASA?
Well, you'll be happy to know I don't work very hard. Actually, I'm bringing the plant down from the inside.	Oh, Homer.
Woo hoo! Ow!	Your honor, we find that Homer Simpson's soul is legally the property of Marge Simpson and not of the devil.
No it doesn't, it's funny. Their clothes are different from my clothes. Look at what they're wearin'.	No, let me try the cup and ball.
Bart, you're coming home.	A few years back, Bart was adopted by Mr. Burns. In this very special outtake, Homer attempts a reconciliation with his estranged son. Watch.
Or what? You'll release the dogs? Or the bees? Or the dogs with bees in their mouths, and when they bark, they shoot bees at you? Well go ahead, do your worst.	I suggest you leave immediately.
"Young man, in this house, we use a little word called ""please""..."	Bart!
I know how you feel, Bart. When I was your age, I wanted an electric football game more than anything in the world, and my parents bought it for me, and it was the happiest day of my life. Well, goodnight.	Those are all good points, but the problem is they don't result in me getting the game.
Gotta change Maggie! Dear God, we gotta change Maggie!	Gotta change that answering machine tape! Oh God, I gotta change that tape!
Hmmm. We didn't have a message when we left. How very odd.	Gotta change Maggie! Dear God, we gotta change Maggie!
Marge, is Lisa at Camp Granada?	Hello, Muddah. Hello, Faddah. Here I am, at Camp Granada...
'Tis the season, Marge! We only get thirty sweet, noggy days, then the government takes it away again!	Homer, didn't you get any milk? All I see is egg nog.
Oh, no, I'm not.	Bart, what's taking so long? If you're having that problem with your zipper, I can send your father up.
Hey! I don't remember saying that!	Please, Bart, no more pranks. It would mean so much to me if we could have just one nice family photo.
I wanna price some flip-flops and smell the new tires and consult the pharmacist for some free medical advice!	Okay.
Uh-oh. Somebody's got tired little legs.	What's wrong, honey?
"Hmm. Wonder where the flip-flops are.... ""Menswear?"""	Uh-oh. Somebody's got tired little legs.
"Maybe it's ""Sporting Goods""... Wait, no, ""Sleepwear""... Oh, probably ""Better Living."""	"Hmm. Wonder where the flip-flops are.... ""Menswear?"""
Well, maybe someone will give you one for Christmas...	Oh, Homie. Look at that watch. I've always wanted a watch like that.
Pfft. Must have been a pretty slow century.	Well, maybe someone will give you one for Christmas...
What are you doing to my son?!!	I thought I told you: no returns for busted merchandise.
"Stealing?! How could you?! Haven't you learned anything from that guy who gives those sermons at church? Captain what's-his-name? We live in a society of laws. Why do you think I took you to all those ""Police Academy"" movies? For fun? Well, I didn't hear anybody laughing, did you? Except at that guy who made sound effects. Where was I? Oh yeah, stay out of my booze!"	Oh, Bart.
I've figured out the boy's punishment. First: he's grounded. No leaving the house, not even for school. Second: No eggnog. In fact, no nog period. And third, absolutely no stealing for three months.	Goodnight.
Eh, what are you gonna do?	I always thought I understood my special little guy. But somewhere along the road, his hand slipped away from mine.
Check it out, boy! It's like looking into a living snow mirror!	You guys made a snowman family?
Get 'im, Ma!	You can't hide from me in this house, Bart! I spend 23 hours a day here!
"Ooo! ""Snappy Answers to Stupid Questions""! I'm great at these. Ask me if something smells funny in here, boy."	You fold it, you bought it.
I don't think so, stupid!	Does something smell funny in here?
No, I want roast beef, you clod!	Homie, you want pork chops?
"""The All igh-ty ollar?"" I get it."	Those magazines create a dangerous amount of laughter.
Ahhh... they never come around anymore now that they've got their mistresses.	Gee, business stinks tonight. Where's Barney, Lenny, and Carl?
Well, you're closing. It's getting late. My kids are probably wondering where their daddy is. There's gotta be some other place we can go. Think, Moe. Think.	Awwww.
I'm tired of being a wannabe league bowler. I wannabe a league bowler.	That I cannot bowl wreaks havoc with my self-esteem as well. But who am I to complain?
Hey, we can be a team!	I'm tired of being a wannabe league bowler. I wannabe a league bowler.
Woo hoo! We won! We won!	Hey, we can be a team!
"Excuse me, but my ""team"" is ready to bowl."	Woo hoo! We won! We won!
Uh...	You're short one person.
That longhair freak's bowled with us for years.	Uh...
Five hundred dollars?! No problem. Would you take an out-of-state, two-party bad check?	Okay, then, I just need your five hundred dollar registration fee.
Aw, come on, Marge! You're getting something in return! And I'm getting a bowling team. It's win/win!	No, I will not pay you five hundred dollars for sex!!
Burns never gives money to anybody. Just last week, I asked him for fifteen hundred dollars.	It's sick! And I don't have that kind of money to spend on sex! Maybe you could get someone with money to sponsor your team. Like Mr. Burns.
Ooh, I've got to get the third degree from you, too?	For what?
Uh... Excuse me, Mr. Burns?	Leave the rag.
Mr. Burns, I, uh, was wondering if you'd like to sponsor my bowling team... for five hundred dollars.	Pop 'n Fresh! You glutinous little doughboy! Oh, there's something I've wanted to do to you for years.
Hey, everybody, if you want to ask Burns for a favor, now's the time! He's doped up or dyin' or something!	Woo hoo!
Oh, c'mon, if we quit now we'll never know how badly they're gonna beat us.	Oh, forget this. I am far too fragile to withstand an evening of barbs like that.
C'mon, guys. Let's be the team that supports each other. YOU CAN DO IT OTTO / YOU CAN DO IT OTTO / HELP EACH OTHER OUT, THAT'LL BE OUR MOTTO...	Well, that's a funny-looking strike.
DOMO AREGATTO, MISTER ROBOTO...	THEN BACK TO MY PLACE WHERE I WILL GET YOU BLOTTO...
Lemme set the scene for you, Marge.	Those beers are five dollars apiece.
It's a 7-10 split.	All right.
The hardest shot in bowling. It was all up to me.	Uh-huh.
So I got up all my courage. Right away, my lips started to move and I came up with a chant that won the match.	Ooh.
I don't know. You know, some guy. Otto, I guess.	Who knocked down the pins?
Marge, you're missing the point. The individual doesn't matter. It was a team effort and I was the one who came up with the whole team idea. Me.	Good for him!
But... but...	I can't believe Otto picked up a 7-10 split. He's phenomenal!
There it is, boys, the championship trophy!	Ahh... We forfeit.
Ah, ha, ha, ha, God-boy couldn't get a strike.	Ah, they think they're so high and mighty, just 'cause they never got caught drivin' without pants.
Yeah, Moe, that team sure did suck last night! They just plain sucked! I've seen teams suck before, but they were the suckiest bunch of sucks that ever sucked!	Bart! Where do you pick up words like that?
Gotta go. My damn wiener kids are listening.	Homer! Watch your mouth!
Then what are you dressed like that for?	We are not wieners!
"""They made us!"" That's loser talk! You gotta start acting more like me and my team, the future league champions of the world! Nothing's gonna stop us now!"	They made us!
By the way, rhyming Homer with Homer...	Way to go, Homer! We win again! Good job! Etc.
You want to join my what?	Listen here... I want to join your team.
Look, guys. It's not that simple, he's my boss. I'll tell you what: I'll give him a shot and if he stinks, it'll be easier to tell him no.	Yeah. Call this an unfair generalization if you must, but old people are no good at everything.
Welcome aboard. It wasn't any easier.	Look, guys. It's not that simple, he's my boss. I'll tell you what: I'll give him a shot and if he stinks, it'll be easier to tell him no.
Uh, Mr. Burns, next week is the big championship game...	Well, we certainly got walloped tonight, eh fellas?
Aw, Marge, we were so close to winning the championship. Now thanks to Burns it's never gonna happen. And I spent so much time building that trophy case.	Now this I gotta see!
Marge! Someone broke the toilet!	So you're saying we're definitely gonna win? -- Woo hoo! I won't need this any more!
Mr. Burns, as team captain, it's my duty to inform you that...	So, who's ready to kick some Christian keister?
Awww.	I've always been wealthy , but this is the first time I ever felt rich.
You're off the team.	Now, Homer, you were about to say something to me...
Thanks.	Nice one, Homer.
Goodbye, trophy.	Next time, a few steps more toward center, don't you think?
I guess some people never change. Or they quickly change, and then quickly change back.	Oh. I'm afraid I've had one of my trademark changes of heart. You see, teamwork will only take you so far, then the truly evolved person makes that extra grab for personal glory. Now, I must discard my teammates, much like the boxer must shed roll after roll of sweaty, useless, disgusting flab before he can win the title. Ta!
Saturday afternoon TV is so boring.	Live from the famous brown sands of Public Beach, Delaware, it's the Grand Nationals of Sand Castle Building... Preview!
Marge, I'm bored.	That's right, Dick. Y'know, this year everyone's abuzz about one thing: The absence of Mark Rodkin. Oh, wait, there he is.
Because I'm trying to reduce my boredom.	Why don't you read something?
Eh. I'll do it anyway.	You'd get some fresh air and exercise.
Come on, boy, we're going to see the neighbors.	Eh. I'll do it anyway.
Good ol' Evergreen Terrace. The swankiest street in the classiest part of Pressboard Estates.	Come on, boy, we're going to see the neighbors.
It's easier. Duh.	Well if you love it so much, why are you always littering?
Uh, spray the boy.	Howdy, neighbor! May I spray you with the hose in a playful fashion?
Well, ready for the big rummage sale?	Uh, spray the boy.
Hey, I never noticed this place!	Oh, yes, indeed. I've got nothing but time until they fix that malfunctioning Squishee machine.
Hey! What's wrong with this neighborhood? Big shot. Too good to buy a house here, Snobby?	That fancy house'll never sell. Nobody who could afford it would want to live in this neighborhood.
The guy who doesn't live there.	Who are you talking to, Homer?
But, Marge, it works on any Ayatollah! Ayatollah Nakhbadeh, Ayatollah Zahedi... Even as we speak, Ayatollah Razmara and his cadre of fanatics are consolidating their power!	"Can we get rid of this ""Ayatollah"" T-shirt? Khomeini died years ago."
Marge, that's the Rhinestone Nights Fashion Gun. I need it to rhinestone-up my old clothing.	I don't care who's consolidating their power. Well, we don't need this.
"Oh. I wanted to write ""DISCO STUD"" but I ran out of space. Not that ""Disco Stu"" didn't get his share of the action!"	"Who's ""Disco Stu?"""
Uh, hey Ned, lemme help you with that.	Hey, Disco Stu doesn't advertise.
Hey everybody! Who thinks Flanders should shut up?	Uh, hey Ned, lemme help you with that.
Say. That Ayatollah thinks he's better than America. Is he right?	King of the neighborhood!
And for the man who has everything: a tie rack motor!	Right here!
Hey, big spender! / Dig this blender! / Rainbow suspenders!...	I'll take that.
Hey, big spender!...	Hey, big spender! / Dig this blender! / Rainbow suspenders!...
Spend some dough at Table Three!	We surrender!...
Table Five, Table Five...	Thank you, neighbors, thank you! Now let's give it up for Table Five! Ah-ah-ah-ah / Table Five, Table Five... Ah-ah-ah-ah / Table Fi-i-i-i-i-i-ve...
Hey, what's the big deal? It's just some new guy moving in!	Table Five, Table Five...
Why did he have to move in on my territory? Look at him. Thinks just because he led the free world he can act like a big shot.	Wow, a former president, living right across the street!
Stupid president. Why couldn't he just stay in his own state?	Why did he have to move in on my territory? Look at him. Thinks just because he led the free world he can act like a big shot.
Wait a minute. If Lisa didn't vote for him, and I didn't vote for him--	Actually this is one of the nine states where Mr. Bush claims residency, Dad. I wouldn't have voted for him, but it's nice to have a celebrity in the neighborhood.
I voted for Prell to go back to the old glass bottle. After that, I became deeply cynical.	You didn't vote for anybody.
Oh, look at those phonies, sucking up to Bush.	Now, Todd, don't scare the president.
Oh, man, I've only got one minute 'til they stop serving those Breakfast Balls...	I'll kick you right out of the Twentieth Century, you little...
Hey, jerk! Move your fanny!	That's really more of a weekend thing, Ray.
Hey! My taxes paid for that horn!	Sir, could you pop your hood?
All right. His story checks out. Marge, would you love me more if I were president? 'Cause I'll do it if it will make you happy.	Oh... nothing.
Well, you can always depend on that.	Homie. As long as you keep the car full of gas, I'm happy.
He spanked you? You, Bart Simpson?	Now go home and think about what you've done, young man.
First Bush invades my home turf, then he takes my pals, then he makes fun of the way I talk... probably..., now he steals my right to raise a disobedient, smart-alecky son! Well, that's it!	And that's why your no good kids are running wild!
Hey, Bush! Get out here!	First Bush invades my home turf, then he takes my pals, then he makes fun of the way I talk... probably..., now he steals my right to raise a disobedient, smart-alecky son! Well, that's it!
I'm going to punch George Bush in the face!	Excuse me, sir, where are you going?
You owe me an apology!	Okay is he expecting you?
Oooh? Hiding behind your goons, eh, Bush? Oooh! Well, you are a wimp.	You wanna step back, sir. You're trampling the flowers.
Oh, I want trouble all right.	All right, mister. You want trouble, you're gonna get trouble.
No, you're gonna get trouble.	Then you're gonna get trouble.
Then we're agreed. There'll be trouble.	Well, that's good, that's good, 'cause I want trouble.
Trouble it is.	Oh, yeah. Lots of trouble.
Yoo hoo?	Uh-unh, I'm not going outside today, not with those neighbors. Staying right here 'til my speech to the Elks Club.
It's your sons, George Bush Jr. and Jeb Bush. Come outside, Dad!	Who is it?
Okay, son! Give him the glue!	Boys? Where you going?
He's not lost.	President Bush is driving on our lawn! He must be lost.
It's time to hit him where he lives.	Looks like we're experiencing some blow-back from the wig offensive.
Bingo.	His house?
So I thought to myself, what would God do in this situation?	Bingo.
It's all in the Bible, son! It's the Prankster's Bible!	Locusts. They'll drive him nuts.
For the last time, Bush, apologize for spanking my boy!	Hey, turkeys! Behind ya!
You didn't tell me you destroyed his memoirs! Never!	Never! You make him apologize for destroying my memoirs!
Oh, brought some of your commie friends to help you fight dirty, eh?	I just drop by with present for warming of house. Instead find you grappling with local oaf.
Woo hoo! In your face, Bush! Now apologize for the tax hike.	I'm sorry I spanked your boy, Homer.
Former President Gerald Ford? Put 'er there! I'm Homer Simpson.	Pleased to meet you. I just moved in. My name is Jerry Ford.
Do I ever!	Say, Homer, do you like football?
Yes, Mr. Ford!	Do you like nachos?
Jerry, I think you and I are gonna get along just fi--	Well, why don't you come over and watch the game and we'll have nachos. And then some beer.
Sit down! / You're breaking -- / Don't touch that--	No, Grampa, don't!
Yay!! We're getting a new TV!!	Consarn it! / What's this do? / --make my adjustments here--
I know a genuine Panaphonics when I see it. And look, there's Magnetbox and Sorny.	Don't be a sap, Dad. These are just crappy knock-offs.
Sold! You wrap it up, I'll start bringin' in the pennies.	Listen, I'm not going to lie to you: those are all superior machines. But if you like to watch your TV -- and I mean really watch it -- you want: the Carnivalé. It features: two-pronged wall plug, pre-molded hand-grip well, durable outer casing to prevent fall-apart...
You look great.	Alright, I will buy it. It'll be good for the economy.
Spurlock's Cafeteria it is.	Really? You like it? Oh, I'd love to wear this someplace special.
What's the point of going out? We're just gonna wind up back here anyway.	What about the symphony -- or the theater?
But Sipowicz does it.	Bart, comb your hair. Homer, I don't think you should wear a short-sleeved shirt with a tie.
I wish I was Sipowicz.	If Detective Sipowicz jumped off a cliff, would you do that, too?
Simpson family.	Name, please?
Uh, c'mon, kids, let's go sit in the car 'til your Mom's done fitting in.	They're free to enjoy the club.
You should've held out longer, boy.	That place is weird. A man in the bathroom kept handing me towels, 'til I paid him to stop.
Boy, Marge, you must've really done a number on those rich suckers.	Yes. They're better. Socially better. And if we fit in, we can be better too. So today, while the rest of you were out being different, I did a very good job of fitting in. So good that Evelyn gave us a guest pass. They might even ask us to join!
That's one way.	You know, Homer, the traditional way to cheat in golf is to lower your score.
Not an issue.	I'm the club pro, Tom Kite. How 'bout I give you a few pointers on your game? Now you don't want to over-think...
Huh?	Keep your head down.
Really?	Wow! Very impressive! You're a natural, Mr. Simpson.
Marge, did you know that Kennedy and Lincoln had the same handicap?	And stay the hell out of my locker! You can keep the shoes.
Just slap some bumper stickers on it and come to bed, willya, Marge?	Homer, please. I have to alter this suit so it looks different for tomorrow.
Seat down.	Yeah. Can ya bank it into the handicapped stall?
Oh, this game could mean big things for me, Marge. If I beat Mr. Burns, I mean really wallop him bad... I'm sure to get that big raise I've been gunning for.	Bah. Schedule a game and I'll ask him myself.
Good morning, Mr. Burns. Beautiful day to be outside, isn't it?	Uh-huh.
Yes.	Rant on, Simpson, but your vainglorious boasting will only add savor to my inevitable triumph.
Woo hoooooooooo--	Yes.
Mmm, open-faced club sand wedge...	Oh, quit cogitating, Steinmetz, and use an open-faced club! The sand wedge!
He got to the green in one shot?!	Oh, a cunning stratagem, Sir. It's curving right toward the green... and... it's... there.
How - can - that - old - man - hit - SO - FAR?!!	He got to the green in one shot?!
And what are you doing with his ball?	Smithers, what are you doing up here?
And all those other balls?!	And what are you doing with his ball?
These aren't reptile eggs! You've been cheating! No matter where Mr. Burns hits the ball, you put a fresh one on the green!	There are no other balls. Uh, just these, uh, reptile eggs! Ooh, step away, they're endangered!
So you're not the best golfer here! Wait'll I tell everyone about this! You stink!	Cheating for me? Good lord, Smithers, that's patently unnecessary. I'm one of the world's finest golfers! In all the years you've caddied for me, I've never lost a-- Oh.
Bull-honkey! I don't care about joining this stupid club.	You know, Homer, Mr. Burns holds a lot of sway at this club. If you would keep quiet about the alleged... decades of cheating, I'm sure he'd support your application for membership tonight.
